ID,Search Engine,Task set,Task complete,Turnaround time,Cost
11062343-1214-0368-0000-946d566d9b61,google_ads,06.11.2025 09:43:02 PM,06.11.2025 09:43:05 PM,00:00:03,0.075
11062339-1214-0368-0000-8c907ff9cd9b,google_ads,06.11.2025 09:39:00 PM,06.11.2025 09:39:07 PM,00:00:07,0.075
11062338-1214-0368-0000-5ff48743d6b6,google_ads,06.11.2025 09:38:41 PM,06.11.2025 09:38:44 PM,00:00:03,0.075
11062332-1214-0368-0000-cb1408a2e496,google_ads,06.11.2025 09:32:05 PM,06.11.2025 09:32:10 PM,00:00:05,0.075
11062327-1214-0368-0000-89ae44ca94a1,google_ads,06.11.2025 09:27:49 PM,06.11.2025 09:27:56 PM,00:00:07,0.075
11062327-1214-0368-0000-b2917b3a9382,google_ads,06.11.2025 09:27:27 PM,06.11.2025 09:27:35 PM,00:00:08,0.075
11062326-1214-0368-0000-b1bf73651619,google_ads,06.11.2025 09:26:26 PM,06.11.2025 09:26:31 PM,00:00:05,0.075
11062325-1214-0368-0000-6d572ac5c487,google_ads,06.11.2025 09:25:19 PM,06.11.2025 09:25:28 PM,00:00:09,0.075
11062323-1214-0368-0000-5a643d67946c,google_ads,06.11.2025 09:23:59 PM,06.11.2025 09:24:06 PM,00:00:07,0.075
11062322-1214-0368-0000-fb49e39494e4,google_ads,06.11.2025 09:22:05 PM,06.11.2025 09:22:11 PM,00:00:06,0.075
11062320-1214-0368-0000-86055605d1ef,google_ads,06.11.2025 09:20:34 PM,06.11.2025 09:20:41 PM,00:00:07,0.075
11062314-1214-0090-0000-80595bfd69b1,google,06.11.2025 09:14:20 PM,06.11.2025 09:14:28 PM,00:00:08,0.075
11062310-1214-0090-0000-dd01f6cd9ba5,google,06.11.2025 09:10:18 PM,06.11.2025 09:10:21 PM,00:00:03,0.075
11062309-1214-0090-0000-88f3a4de15cd,google,06.11.2025 09:09:21 PM,06.11.2025 09:09:25 PM,00:00:04,0.075
11062254-1214-0091-0000-6651f0c418ce,google,06.11.2025 08:54:25 PM,06.11.2025 08:54:30 PM,00:00:05,0.075
11062250-1214-0110-0000-9d672392577f,google,06.11.2025 08:50:47 PM,06.11.2025 08:50:51 PM,00:00:04,0.05
11061539-1214-0110-0000-76e300c7f3cf,google,06.11.2025 01:39:03 PM,06.11.2025 01:39:06 PM,00:00:03,0.05
11061533-1214-0110-0000-bca56823e018,google,06.11.2025 01:33:13 PM,06.11.2025 01:33:17 PM,00:00:04,0.05
11061510-1214-0093-0000-f76ec1fd835b,google,06.11.2025 01:10:36 PM,06.11.2025 01:10:45 PM,00:00:09,0.075
11061259-1214-0090-0000-12bde773fa94,google,06.11.2025 10:59:28 AM,06.11.2025 10:59:36 AM,00:00:08,0.075
11052211-1214-0090-0000-70a5a690d8b6,google,05.11.2025 08:11:46 PM,05.11.2025 08:11:49 PM,00:00:03,0.075
